Sl. No.,Name of the Road,Specific location,Date,Frequency,latitude,longitude
201.0,--,Rajokari Underpass,['21.08.2021'],1,28.6138954,77.2090057
202.0,NH-48 Gurugram Road,Sanjay T-Point,['21.08.2021'],1,28.5407727,77.1172232
203.0,--,Babar Chowk,['21.08.2021'],1,28.6292586,77.2326727
204.0,--,Bakkarwala,['21.08.2021'],1,28.6138954,77.2090057
205.0,J.B. Tito Marg,Central School Andrewz Ganj,['21.08.2021'],1,28.5604456,77.2295936
206.0,GT Road,Chintamani Flyover,['21.08.2021'],1,28.6851175,77.1960033
207.0,"Jhilmil Industrial Area, Railway Road",Kasturba Nagar Underpass,['21.08.2021'],1,28.5774817,77.2256295
208.0,--,Monkey Bridge Saleemgarh,['21.08.2021'],1,28.6138954,77.2090057
209.0,--,Okhla Mandi,['21.08.2021'],1,28.6138954,77.2090057
210.0,--,Rithala Metro Station,['21.08.2021'],1,28.6138954,77.2090057
211.0,SSN Marg,Y-Point Chattarpur,['21.08.2021'],1,28.4638104,77.1862889
